"","id","afr","dob","aoc","absw95","absw98","absw00","absw02","absw04","absw06","absw10","age_absw95","age_absw98","age_absw00","age_absw02","age_absw04","age_absw06","age_absw10"
"191",202,21.7722222222222,1978,32,58.5,NA,NA,NA,91.67,99.87,222.9,17,20,22,24,26,28,32
"349",203,NA,1989,17,NA,54.55,67.88,150.87,NA,NA,NA,6,9,11,13,15,17,21
"407",204,18.2361111111111,1984,26,39,51.82,64.16,128.4,95.39,133.24,NA,11,14,16,18,20,22,26
"95",205,NA,1996,14,NA,NA,NA,NA,NA,2010.43,4815.65,NA,2,4,6,8,10,14
"129",206,NA,1996,14,NA,942.46,1147.2,383.06,1882.55,11306.74,33886.77,NA,2,4,6,8,10,14
"344",207,14.4166666666667,1985,25,NA,NA,NA,NA,NA,NA,NA,10,13,15,17,19,21,25
"404",208,17.3333333333333,1989,21,NA,76.39,100.91,100.58,117.71,144.36,NA,6,9,11,13,15,17,21
"24",209,NA,1999,11,NA,NA,60.44,835.67,NA,359.31,505.66,NA,NA,1,3,5,7,11
"13",210,17.3277777777778,1987,23,35.1,407.89,130.03,1263.67,2178.3,NA,3424.19,8,11,13,15,17,19,23
"239",211,18,1977,33,35.1,122.02,79.04,74.9,167.93,204.12,206.86,18,21,23,25,27,29,33
"143",212,NA,2002,8,NA,NA,NA,269.64,464.67,2577.33,8429.23,NA,NA,NA,0,2,4,8
"243",213,NA,1997,13,NA,NA,NA,NA,NA,349.57,1686.67,NA,1,3,5,7,9,13
"139",214,17.9305555555556,1979,31,NA,49.09,60.44,87.74,84.23,99.87,269.26,16,19,21,23,25,27,31
"242",215,NA,1995,15,NA,NA,NA,NA,NA,349.57,1686.67,0,3,5,7,9,11,15
"153",216,NA,1992,18,NA,NA,NA,NA,NA,NA,5996.15,3,6,8,10,12,14,18
"141",217,18.7972222222222,1977,33,35.1,183.11,306.57,269.64,464.67,2577.33,8429.23,18,21,23,25,27,29,33
"200",218,15.6166666666667,1985,25,NA,NA,67.88,1796.53,84.23,142.96,275.63,10,13,15,17,19,21,25
"11",219,NA,2002,8,NA,NA,NA,1399.56,1989.8,2520.56,6741.51,NA,NA,NA,0,2,4,8
